dt;x;y;z;a;b;c;j_cfg
0.008;511.3819745597831;2.6819745597830718;472.02;166.48;0.46;-179.67;1028
0.008;514.2044596107378;5.504459610737797;472.02;166.48;0.46;-179.67;1028
0.008;517.0269446616925;8.326944661692465;472.02;166.48;0.46;-179.67;1028
0.008;519.8494297126472;11.149429712647162;472.02;166.48;0.46;-179.67;1028
0.008;522.6719147636019;13.971914763601887;472.02;166.48;0.46;-179.67;1028
0.008;525.4943998145566;16.794399814556613;472.02;166.48;0.46;-179.67;1028
0.008;528.3168848655113;19.61688486551131;472.02;166.48;0.46;-179.67;1028
0.008;531.139369916466;22.439369916466006;472.02;166.48;0.46;-179.67;1028
0.008;533.9618549674208;25.26185496742073;472.02;166.48;0.46;-179.67;1028
0.008;536.7843400183755;28.084340018375457;472.02;166.48;0.46;-179.67;1028
0.008;539.6068250693302;30.906825069330154;472.02;166.48;0.46;-179.67;1028
0.008;542.4293101202849;33.72931012028485;472.02;166.48;0.46;-179.67;1028
0.008;545.2517951712396;36.551795171239576;472.02;166.48;0.46;-179.67;1028
0.008;548.0742802221943;39.37428022219427;472.02;166.48;0.46;-179.67;1028
0.008;550.896765273149;42.19676527314897;472.02;166.48;0.46;-179.67;1028
0.008;553.7192503241037;45.019250324103666;472.02;166.48;0.46;-179.67;1028
0.008;556.5417353750584;47.84173537505842;472.02;166.48;0.46;-179.67;1028
0.008;559.3642204260132;50.66422042601312;472.02;166.48;0.46;-179.67;1028
0.008;562.1867054769677;53.48670547696781;472.02;166.48;0.46;-179.67;1028
0.008;565.0091905279226;56.30919052792251;472.02;166.48;0.46;-179.67;1028
0.008;567.8316755788773;59.131675578877264;472.02;166.48;0.46;-179.67;1028
0.008;570.654160629832;61.95416062983196;472.02;166.48;0.46;-179.67;1028
0.008;573.4766456807865;64.7766456807866;472.02;166.48;0.46;-179.67;1028
0.008;576.2991307317413;67.5991307317413;472.02;166.48;0.46;-179.67;1028
0.008;579.1216157826959;70.421615782696;472.02;166.48;0.46;-179.67;1028
0.008;581.9441008336507;73.24410083365075;472.02;166.48;0.46;-179.67;1028
0.008;584.7665858846054;76.06658588460544;472.02;166.48;0.46;-179.67;1028
0.008;587.5890709355601;78.88907093556008;472.02;166.48;0.46;-179.67;1028
0.008;590.4114599573965;81.71145995739647;472.02;166.48;0.46;-179.67;1028
0.008;593.2326087743143;84.53260877431433;472.02;166.48;0.46;-179.67;1028
0.008;596.0507280189721;87.35072801897212;472.02;166.48;0.46;-179.67;1028
0.008;598.8640188828405;90.16401888284048;472.02;166.48;0.46;-179.67;1028
0.008;601.67068255739;92.97068255739003;472.02;166.48;0.46;-179.67;1028
0.008;604.4689202340912;95.7689202340913;472.02;166.48;0.46;-179.67;1028
0.008;607.2569331044149;98.5569331044149;472.02;166.48;0.46;-179.67;1028
