dt;x;y;z;a;b;c;j_cfg
0.008;303.04032372944545;-467.7996762705546;481.65;166.48;0.45;-179.68;1028
0.008;307.53410777627556;-463.30589222372447;481.65;166.48;0.45;-179.68;1028
0.008;311.9691768667661;-458.87082313323396;481.65;166.48;0.45;-179.68;1028
0.008;316.3396235026012;-454.5003764973988;481.65;166.48;0.45;-179.68;1028
0.008;320.6395401854653;-450.2004598145347;481.65;166.48;0.45;-179.68;1028
0.008;324.8639690833633;-445.9760309166367;481.65;166.48;0.45;-179.68;1028
0.008;329.011768877986;-441.828231122014;481.65;166.48;0.45;-179.68;1028
0.008;333.0827568624922;-437.7572431375078;481.65;166.48;0.45;-179.68;1028
0.008;337.0769541594245;-433.76304584057556;481.65;166.48;0.45;-179.68;1028
0.008;340.99981565158106;-429.840184348419;481.65;166.48;0.45;-179.68;1028
0.008;344.86267968123747;-425.97732031876257;481.65;166.48;0.45;-179.68;1028
0.008;348.67717853818766;-422.16282146181237;481.65;166.48;0.45;-179.68;1028
0.008;352.45494451222527;-418.38505548777476;481.65;166.48;0.45;-179.68;1028
0.008;356.2076098931441;-414.63239010685595;481.65;166.48;0.45;-179.68;1028
0.008;359.946806970738;-410.893193029262;481.65;166.48;0.45;-179.68;1028
0.008;363.6841680348006;-407.1558319651994;481.65;166.48;0.45;-179.68;1028
0.008;367.43132537512594;-403.4086746248741;481.65;166.48;0.45;-179.68;1028
0.008;371.1999112815077;-399.64008871849234;481.65;166.48;0.45;-179.68;1028
0.008;375.0015580437396;-395.83844195626045;481.65;166.48;0.45;-179.68;1028
0.008;378.8478979516155;-391.99210204838454;481.65;166.48;0.45;-179.68;1028
0.008;382.7505632949291;-388.0894367050709;481.65;166.48;0.45;-179.68;1028
0.008;386.7209040169157;-384.1190959830843;481.65;166.48;0.45;-179.68;1028
0.008;390.7645794568916;-380.0754205431084;481.65;166.48;0.45;-179.68;1028
0.008;394.8819718256365;-375.9580281743635;481.65;166.48;0.45;-179.68;1028
0.008;399.073263829988;-371.76673617001205;481.65;166.48;0.45;-179.68;1028
0.008;403.3376535937314;-367.50234640626866;481.65;166.48;0.45;-179.68;1028
0.008;407.67040090844097;-363.16959909155906;481.65;166.48;0.45;-179.68;1028
0.008;412.0657809826389;-358.77421901736113;481.65;166.48;0.45;-179.68;1028
0.008;416.5180690248469;-354.3219309751531;481.65;166.48;0.45;-179.68;1028
0.008;421.02154024358714;-349.8184597564129;481.65;166.48;0.45;-179.68;1028
0.008;425.5704698473815;-345.26953015261853;481.65;166.48;0.45;-179.68;1028
0.008;430.15913304475174;-340.6808669552483;481.65;166.48;0.45;-179.68;1028
0.008;434.7818050442201;-336.0581949557799;481.65;166.48;0.45;-179.68;1028
0.008;439.4327610543083;-331.40723894569174;481.65;166.48;0.45;-179.68;1028
0.008;444.1062762835383;-326.7337237164617;481.65;166.48;0.45;-179.68;1028
0.008;448.7966259404323;-322.0433740595677;481.65;166.48;0.45;-179.68;1028
0.008;453.49808523351186;-317.3419147664882;481.65;166.48;0.45;-179.68;1028
0.008;458.2049295710839;-312.63507042891615;481.65;166.48;0.45;-179.68;1028
0.008;462.9125679606755;-307.9274320393245;481.65;166.48;0.45;-179.68;1028
0.008;467.62020635026715;-303.2197936497329;481.65;166.48;0.45;-179.68;1028
0.008;472.3278447398588;-298.51215526014124;481.65;166.48;0.45;-179.68;1028
0.008;477.0354831294504;-293.8045168705496;481.65;166.48;0.45;-179.68;1028
0.008;481.74312151904206;-289.09687848095797;481.65;166.48;0.45;-179.68;1028
0.008;486.4507599086337;-284.38924009136633;481.65;166.48;0.45;-179.68;1028
0.008;491.1583982982253;-279.68160170177475;481.65;166.48;0.45;-179.68;1028
0.008;495.86603668781703;-274.973963312183;481.65;166.48;0.45;-179.68;1028
0.008;500.57367507740867;-270.26632492259137;481.65;166.48;0.45;-179.68;1028
