(time);AXE:IP_F(1);AXE:IP_F(2);AXE:IP_F(3);AXE:IP_F(4);AXE:IP_F(5);AXE:IP_F(6);LOV:ERAG.QC[1];LOV:ERAG.QC[2];LOV:ERAG.QC[3];LOV:ERAG.QC[4];LOV:ERAG.QC[5];LOV:ERAG.QC[6];LOV:ERAG.MODEL_JC_CFG;AXE:IP(1);AXE:IP(2);AXE:IP(3);AXE:IP(4);AXE:IP(5);AXE:IP(6)
4816001;-103.3632736206055;8.418910980224609;79.92347717285156;1.294464468955994;90.58411407470703;-179.6568145751953;13.62650394439697;-588.3734741210938;472.0199890136719;166.4799957275391;0.4599980413913727;-179.6600036621094;1028;-103.2406158447266;8.186639785766602;80.19300842285156;1.256224274635315;90.58321380615234;-179.5340270996094
4824000;-103.3168029785156;8.33126163482666;80.02503967285156;1.280179142951965;90.58377075195313;-179.6102905273438;14.2547550201416;-587.7452392578125;472.0199890136719;166.4799957275391;0.4599980413913727;-179.6600036621094;1028;-103.1934814453125;8.098611831665039;80.29462432861328;1.242253541946411;90.58286285400391;-179.4868469238281
4832001;-103.2700881958008;8.243461608886719;80.12663269042969;1.266009330749512;90.58342742919922;-179.5635223388672;14.8848295211792;-587.1151123046875;472.0199890136719;166.4799957275391;0.4599980413913727;-179.6600036621094;1028;-103.1460952758789;8.010441780090332;80.39627075195313;1.228401899337769;90.58251953125;-179.4394073486328
4840001;-103.2231140136719;8.155537605285645;80.22822570800781;1.251964211463928;90.58308410644531;-179.5165100097656;15.51667213439941;-586.4832763671875;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-103.0984573364258;7.922149181365967;80.49790954589844;1.214675307273865;90.58216857910156;-179.3917388916016
4848000;-103.175895690918;8.06749153137207;80.32981872558594;1.238044738769531;90.58274078369141;-179.4692535400391;16.15023803710938;-585.8497314453125;472.0199890136719;166.4799957275391;0.4599980413913727;-179.6600036621094;1028;-103.0505752563477;7.83374547958374;80.59953308105469;1.201077938079834;90.58181762695313;-179.3437957763672
4856000;-103.1284255981445;7.979302883148193;80.43142700195313;1.224243998527527;90.58238983154297;-179.4217224121094;16.78554916381836;-585.2144775390625;472.0199890136719;166.4799957275391;0.4599980413913727;-179.6600036621094;1028;-103.0024337768555;7.745218753814697;80.70114898681641;1.187605738639832;90.58146667480469;-179.2956237792969
4864002;-103.0807037353516;7.89097785949707;80.53305053710938;1.210564374923706;90.58203887939453;-179.3739624023438;17.42259979248047;-584.577392578125;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.9540481567383;7.65656566619873;80.80276489257813;1.174257874488831;90.58111572265625;-179.2471923828125
4871999;-103.0327301025391;7.802544116973877;80.63465118408203;1.197014093399048;90.58168792724609;-179.3259429931641;18.06133270263672;-583.9385986328125;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.9054107666016;7.567804336547852;80.90435791015625;1.161039710044861;90.58076477050781;-179.1985015869141
4880001;-102.9845123291016;7.714004516601563;80.73622894287109;1.183594107627869;90.58133697509766;-179.2776794433594;18.70170593261719;-583.2982788085938;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.8565292358398;7.478948593139648;81.00590515136719;1.147955060005188;90.58040618896484;-179.1495819091797
4888002;-102.93603515625;7.625337600708008;80.83780670166016;1.170298099517822;90.58098602294922;-179.2291717529297;19.3437385559082;-582.65625;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.8073959350586;7.389984607696533;81.10743713378906;1.135000348091125;90.58004760742188;-179.1004028320313
4896001;-102.8873138427734;7.53654956817627;80.93937683105469;1.15712833404541;90.58063507080078;-179.1804046630859;19.98742866516113;-582.0125122070313;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.7580108642578;7.300909519195557;81.20894622802734;1.122174620628357;90.57968902587891;-179.0509796142578
4904001;-102.8383483886719;7.447668552398682;81.04090881347656;1.144092082977295;90.58027648925781;-179.1313934326172;20.63271522521973;-581.3672485351563;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.708381652832;7.211741924285889;81.31040954589844;1.109483003616333;90.57933044433594;-179.0013122558594
4911999;-102.7891311645508;7.358696937561035;81.14238739013672;1.131190299987793;90.57991790771484;-179.0821228027344;21.2795581817627;-580.720458984375;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.6585083007813;7.122494697570801;81.41181182861328;1.096928834915161;90.57897186279297;-178.9513854980469
4920000;-102.7396621704102;7.269612789154053;81.24385070800781;1.118417382240295;90.57955932617188;-179.0326232910156;21.92797470092773;-580.072021484375;472.0199890136719;166.4799957275391;0.4599980711936951;-179.6600036621094;1028;-102.6083831787109;7.033154487609863;81.51317596435547;1.084508776664734;90.57861328125;-178.9012145996094
